fund_code,date,subscription,redemption,total_shares,net_asset,nav_change_rate,year,quarter
000011,2026-06-30,0.17,0.29,1.8,49.59,33.44%,2026,2
000011,2026-03-31,0.12,0.23,1.92,37.16,-6.84%,2026,1
000011,2025-12-31,0.11,0.23,2.03,39.89,-5.87%,2025,4
000011,2025-09-30,0.17,0.38,2.15,42.38,19.15%,2025,3
000011,2025-06-30,0.05,0.09,2.35,35.57,-1.58%,2025,2
000011,2025-03-31,0.09,0.12,2.4,36.14,0.69%,2025,1
000011,2024-12-31,0.19,0.19,2.44,35.89,-0.96%,2024,4
000011,2024-09-30,0.06,0.08,2.44,36.24,13.60%,2024,3
000011,2024-06-30,0.04,0.07,2.46,31.9,-2.24%,2024,2
000011,2024-03-31,0.08,0.09,2.49,32.63,-2.56%,2024,1
000011,2023-12-31,0.08,0.09,2.5,33.49,-10.61%,2023,4
000011,2023-09-30,0.08,0.09,2.51,37.46,-5.91%,2023,3
000011,2023-06-30,0.08,0.08,2.52,39.82,-3.17%,2023,2
000011,2023-03-31,0.1,0.09,2.52,41.12,2.56%,2023,1
000011,2022-12-31,0.11,0.11,2.52,40.1,0.01%,2022,4
000011,2022-09-30,0.13,0.19,2.52,40.09,-17.61%,2022,3
000011,2022-06-30,0.13,0.16,2.58,48.66,15.18%,2022,2
000011,2022-03-31,0.18,0.23,2.6,42.25,-21.87%,2022,1
000011,2021-12-31,0.33,0.61,2.66,54.08,-5.63%,2021,4
000011,2021-09-30,0.55,0.43,2.93,57.3,-0.47%,2021,3
000011,2021-06-30,0.47,0.31,2.81,57.57,8.44%,2021,2
000011,2021-03-31,0.59,1.57,2.66,53.09,-25.63%,2021,1
000011,2020-12-31,1.5,0.52,3.63,71.38,45.57%,2020,4
000011,2020-09-30,0.71,0.72,2.65,49.03,23.33%,2020,3
000011,2020-06-30,0.19,0.48,2.67,39.76,7.36%,2020,2
000011,2020-03-31,0.64,1.35,2.96,37.03,-32.29%,2020,1
000011,2019-12-31,0.32,0.49,3.67,54.69,8.25%,2019,4
000011,2019-09-30,0.44,0.48,3.83,50.52,-2.70%,2019,3
000011,2019-06-30,1.45,0.53,3.88,51.93,26.26%,2019,2
000011,2019-03-31,0.46,0.6,2.96,41.12,22.85%,2019,1
000011,2018-12-31,0.36,0.17,3.1,33.47,-6.14%,2018,4
000011,2018-09-30,0.35,0.25,2.9,35.66,-2.62%,2018,3
000011,2018-06-30,0.42,0.34,2.8,36.62,1.58%,2018,2
000011,2018-03-31,0.9,0.44,2.72,36.06,17.73%,2018,1
000011,2017-12-31,0.6,0.36,2.26,30.63,23.81%,2017,4
000011,2017-09-30,0.27,0.22,2.02,24.74,4.67%,2017,3
000011,2017-06-30,0.26,0.18,1.97,23.63,14.58%,2017,2
000011,2017-03-31,0.17,0.14,1.89,20.62,9.83%,2017,1
000011,2016-12-31,0.14,0.18,1.85,18.78,-2.96%,2016,4
000011,2016-09-30,0.16,0.16,1.89,19.35,2.04%,2016,3
000011,2016-06-30,0.19,0.17,1.89,18.96,2.12%,2016,2
000011,2016-03-31,0.29,0.15,1.86,18.57,-6.69%,2016,1
000011,2015-12-31,0.24,0.24,1.73,19.9,25.56%,2015,4
000011,2015-09-30,0.46,0.47,1.73,15.85,-25.14%,2015,3
000011,2015-06-30,0.66,1.12,1.74,21.17,-17.92%,2015,2
000011,2015-03-31,0.41,0.54,2.2,25.79,22.20%,2015,1
000011,2014-12-31,0.37,0.7,2.33,21.11,0.06%,2014,4
000011,2014-09-30,0.27,0.76,2.66,21.1,-7.30%,2014,3
000011,2014-06-30,0.11,0.3,3.15,22.76,-7.59%,2014,2
000011,2014-03-31,0.27,0.49,3.34,24.63,-20.27%,2014,1
000011,2013-12-31,0.62,0.89,3.57,30.89,-13.61%,2013,4
000011,2013-09-30,0.38,0.9,3.84,35.75,-2.49%,2013,3
000011,2013-06-30,0.85,1.23,4.35,36.67,-9.07%,2013,2
000011,2013-03-31,1.96,0.49,4.73,40.32,62.15%,2013,1
000011,2012-12-31,0.08,0.31,3.26,24.87,-2.63%,2012,4
000011,2012-09-30,,0.08,3.5,25.54,-6.60%,2012,3
000011,2012-06-30,0.91,1.96,3.58,27.34,-41.87%,2012,2
000011,2012-03-31,0.0,1.6,4.63,47.04,-25.20%,2012,1
000011,2011-12-31,0.0,0.02,6.23,62.89,-7.72%,2011,4
000011,2011-09-30,0.0,0.01,6.25,68.15,-12.68%,2011,3
000011,2011-06-30,0.03,0.01,6.26,78.04,-2.30%,2011,2
000011,2011-03-31,0.0,0.03,6.24,79.88,3.79%,2011,1
000011,2010-12-31,0.0,0.05,6.27,76.96,12.43%,2010,4
000011,2010-09-30,0.0,0.03,6.32,68.45,20.82%,2010,3
000011,2010-06-30,0.04,0.01,6.34,56.65,-16.32%,2010,2
000011,2010-03-31,0.0,0.01,6.32,67.71,7.29%,2010,1
000011,2009-12-31,0.0,0.04,6.33,63.1,26.57%,2009,4
000011,2009-09-30,0.0,0.03,6.37,49.86,5.36%,2009,3
000011,2009-06-30,0.06,0.06,6.4,47.32,14.45%,2009,2
000011,2009-03-31,0.0,0.08,6.4,41.35,36.10%,2009,1
000011,2008-12-31,0.0,0.1,6.48,30.38,-2.59%,2008,4
000011,2008-09-30,0.0,0.16,6.59,31.19,-12.04%,2008,3
000011,2008-06-30,0.06,0.93,6.75,35.46,-30.13%,2008,2
000011,2008-03-31,0.0,0.08,7.62,50.75,-9.88%,2008,1
000011,2007-12-31,0.0,0.57,7.7,56.31,-2.89%,2007,4
000011,2007-09-30,0.0,0.21,8.27,57.98,45.69%,2007,3
000011,2007-06-30,0.0,0.76,8.48,39.8,19.45%,2007,2
000011,2007-03-31,3.55,3.14,9.24,33.32,68.25%,2007,1
000011,2006-12-31,6.04,6.01,8.84,19.8,26.46%,2006,4
000011,2006-09-30,4.77,2.77,8.8,15.66,36.50%,2006,3
000011,2006-06-30,2.65,2.53,6.8,11.47,55.19%,2006,2
000011,2006-03-31,3.6,3.95,6.69,7.39,4.95%,2006,1
000011,2005-12-31,0.44,0.64,7.04,7.04,-3.11%,2005,4
000011,2005-09-30,1.13,3.87,7.23,7.27,-24.06%,2005,3
000011,2005-06-30,0.99,1.7,9.97,9.57,-9.49%,2005,2
000011,2005-03-31,1.26,2.14,10.69,10.58,-8.89%,2005,1
000011,2004-12-31,0.24,3.97,11.57,11.61,-39.79%,2004,4
000011,2004-08-11,,,19.28,,---,2004,3
000017,2026-06-30,1.47,0.75,1.39,6.75,344.62%,2026,2
000017,2026-03-31,0.14,0.14,0.67,1.52,-4.06%,2026,1
000017,2025-12-31,0.11,0.15,0.67,1.58,6.89%,2025,4
000017,2025-09-30,0.09,0.19,0.71,1.48,34.30%,2025,3
000017,2025-06-30,0.01,0.03,0.81,1.1,14.53%,2025,2
000017,2025-03-31,0.02,0.05,0.83,0.96,-12.05%,2025,1
000017,2024-12-31,0.04,0.04,0.86,1.09,4.69%,2024,4
000017,2024-09-30,0.01,0.01,0.86,1.05,5.29%,2024,3
000017,2024-06-30,0.01,0.02,0.86,0.99,2.45%,2024,2
000017,2024-03-31,0.01,0.02,0.87,0.97,0.14%,2024,1
000017,2023-12-31,0.01,0.02,0.88,0.97,2.67%,2023,4
000017,2023-09-30,0.01,0.02,0.9,0.94,-14.82%,2023,3
000017,2023-06-30,0.01,0.04,0.91,1.11,-10.58%,2023,2
000017,2023-03-31,0.01,0.06,0.94,1.24,-5.33%,2023,1
000017,2022-12-31,0.02,0.45,0.99,1.31,-33.05%,2022,4
000017,2022-09-30,0.01,0.03,1.41,1.95,-18.11%,2022,3
000017,2022-06-30,0.06,0.03,1.43,2.38,14.16%,2022,2
000017,2022-03-31,0.03,0.28,1.4,2.09,-26.45%,2022,1
000017,2021-12-31,0.23,0.29,1.65,2.84,-16.81%,2021,4
000017,2021-09-30,0.22,0.65,1.7,3.41,-30.05%,2021,3
000017,2021-06-30,0.08,0.65,2.13,4.88,-11.55%,2021,2
000017,2021-03-31,0.93,2.94,2.69,5.52,-46.58%,2021,1
000017,2020-12-31,6.8,3.17,4.71,10.33,304.84%,2020,4
000017,2020-09-30,0.54,0.31,1.08,2.55,44.38%,2020,3
000017,2020-06-30,0.09,0.08,0.85,1.77,26.04%,2020,2
000017,2020-03-31,0.29,0.31,0.85,1.4,-7.67%,2020,1
000017,2019-12-31,0.13,0.06,0.87,1.52,18.71%,2019,4
000017,2019-09-30,0.03,0.06,0.8,1.28,7.14%,2019,3
000017,2019-06-30,0.07,0.22,0.82,1.19,-19.95%,2019,2
000017,2019-03-31,0.04,0.04,0.97,1.49,28.07%,2019,1
000017,2018-12-31,0.02,0.61,0.98,1.16,-43.76%,2018,4
000017,2018-09-30,0.47,0.02,1.57,2.07,35.58%,2018,3
000017,2018-06-30,0.24,0.16,1.12,1.53,0.00%,2018,2
000017,2018-06-29,,,,1.53,-10.59%,2018,2
000017,2018-03-31,0.02,0.05,1.04,1.71,-6.43%,2018,1
000017,2017-12-31,0.01,0.19,1.06,1.83,-8.43%,2017,4
000017,2017-09-30,0.02,0.06,1.24,1.99,0.04%,2017,3
000017,2017-06-30,0.65,0.04,1.29,1.99,73.46%,2017,2
000017,2017-03-31,0.02,0.05,0.68,1.15,3.65%,2017,1
000017,2016-12-31,0.01,0.06,0.71,1.11,-10.12%,2016,4
000017,2016-09-30,0.03,0.08,0.76,1.23,-11.39%,2016,3
000017,2016-06-30,0.05,0.09,0.81,1.39,2.04%,2016,2
000017,2016-03-31,0.3,0.27,0.84,1.36,-25.89%,2016,1
000017,2015-12-31,0.1,0.14,0.81,1.84,21.55%,2015,4
000017,2015-09-30,0.46,1.16,0.85,1.51,-61.61%,2015,3
000017,2015-06-30,1.97,3.13,1.55,3.94,-38.41%,2015,2
000017,2015-03-31,3.12,3.19,2.71,6.4,29.78%,2015,1
000017,2014-12-31,3.65,3.13,2.79,4.93,30.59%,2014,4
000017,2014-09-30,2.26,0.46,2.27,3.78,530.62%,2014,3
000017,2014-06-30,0.24,0.09,0.47,0.6,56.64%,2014,2
000017,2014-03-31,0.15,0.26,0.31,0.38,-22.42%,2014,1
000017,2013-12-31,0.03,0.28,0.42,0.49,-36.08%,2013,4
000017,2013-09-30,0.03,1.82,0.67,0.77,-68.82%,2013,3
000017,2013-06-30,0.01,0.69,2.46,2.47,-21.11%,2013,2
000017,2013-05-10,,,,3.14,-0.02%,2013,2
000017,2013-05-03,,,,3.14,0.03%,2013,2
000017,2013-04-26,,,,3.14,-0.18%,2013,2
000017,2013-04-19,,,,3.14,0.05%,2013,2
000017,2013-04-12,,,,3.14,-0.02%,2013,2
000017,2013-04-03,,,,3.14,-0.23%,2013,2
000017,2013-03-29,,,,3.15,0.00%,2013,1
000017,2013-03-27,,,3.15,,---,2013,1
000020,2026-06-30,0.12,0.16,0.94,5.72,38.57%,2026,2
000020,2026-03-31,0.16,0.11,0.98,4.13,6.36%,2026,1
000020,2025-12-31,0.04,0.11,0.92,3.88,-5.74%,2025,4
000020,2025-09-30,0.06,0.15,0.99,4.12,16.29%,2025,3
000020,2025-06-30,0.02,0.32,1.08,3.54,-19.11%,2025,2
000020,2025-03-31,0.03,0.06,1.39,4.38,2.66%,2025,1
000020,2024-12-31,0.31,0.28,1.41,4.27,0.97%,2024,4
000020,2024-09-30,0.02,0.05,1.39,4.22,9.95%,2024,3
000020,2024-06-30,0.02,0.05,1.41,3.84,-2.69%,2024,2
000020,2024-03-31,0.03,0.05,1.45,3.95,-10.94%,2024,1
000020,2023-12-31,0.1,0.06,1.47,4.43,0.60%,2023,4
000020,2023-09-30,0.05,0.24,1.44,4.41,-16.11%,2023,3
000020,2023-06-30,0.03,0.18,1.63,5.25,-10.35%,2023,2
000020,2023-03-31,0.05,0.59,1.78,5.86,-23.42%,2023,1
000020,2022-12-31,0.15,1.31,2.32,7.65,-32.68%,2022,4
000020,2022-09-30,0.09,0.15,3.49,11.37,-11.16%,2022,3
000020,2022-06-30,0.08,0.2,3.54,12.79,2.84%,2022,2
000020,2022-03-31,0.1,0.36,3.67,12.44,-24.72%,2022,1
000020,2021-12-31,0.22,0.27,3.93,16.52,1.50%,2021,4
000020,2021-09-30,0.33,0.84,3.98,16.28,-17.14%,2021,3
000020,2021-06-30,0.25,0.65,4.49,19.65,4.16%,2021,2
000020,2021-03-31,2.34,1.75,4.89,18.86,5.71%,2021,1
000020,2020-12-31,0.67,1.34,4.3,17.84,-2.86%,2020,4
000020,2020-09-30,1.64,1.21,4.97,18.37,23.78%,2020,3
000020,2020-06-30,0.83,0.78,4.55,14.84,22.51%,2020,2
000020,2020-03-31,3.02,1.6,4.51,12.11,50.84%,2020,1
000020,2019-12-31,1.11,0.63,3.09,8.03,40.42%,2019,4
000020,2019-09-30,0.92,0.43,2.61,5.72,37.05%,2019,3
000020,2019-06-30,0.22,0.71,2.12,4.17,-18.41%,2019,2
000020,2019-03-31,0.39,0.87,2.61,5.11,6.24%,2019,1
000020,2018-12-31,0.17,0.41,3.08,4.81,-13.79%,2018,4
000020,2018-09-30,0.27,3.54,3.32,5.58,-55.95%,2018,3
000020,2018-06-30,3.83,0.41,6.59,12.68,0.00%,2018,2
000020,2018-06-29,,,,12.68,72.01%,2018,2
000020,2018-03-31,0.9,0.42,3.18,7.37,23.07%,2018,1
000020,2017-12-31,1.67,0.94,2.7,5.99,40.20%,2017,4
000020,2017-09-30,0.45,0.89,1.97,4.27,-10.29%,2017,3
000020,2017-06-30,0.59,0.21,2.41,4.76,30.90%,2017,2
000020,2017-03-31,0.14,0.16,2.02,3.64,9.30%,2017,1
000020,2016-12-31,0.09,0.21,2.04,3.33,0.00%,2016,4
000020,2016-12-30,,,,3.33,-10.99%,2016,4
000020,2016-09-30,0.17,0.22,2.16,3.74,4.06%,2016,3
000020,2016-06-30,0.18,0.97,2.21,3.59,-24.14%,2016,2
000020,2016-03-31,0.92,1.25,2.99,4.74,-24.15%,2016,1
000020,2015-12-31,1.21,0.82,3.32,6.24,39.50%,2015,4
000020,2015-09-30,2.23,2.2,2.93,4.48,-23.37%,2015,3
000020,2015-06-30,3.88,2.87,2.91,5.84,76.22%,2015,2
000020,2015-03-31,1.8,1.19,1.89,3.31,117.65%,2015,1
000020,2014-12-31,0.5,1.23,1.28,1.52,-26.77%,2014,4
000020,2014-09-30,0.17,0.79,2.01,2.08,-13.65%,2014,3
000020,2014-06-30,0.33,0.19,2.63,2.41,3.75%,2014,2
000020,2014-03-31,0.22,0.79,2.5,2.32,-24.64%,2014,1
000020,2013-12-31,0.31,2.54,3.06,3.08,-46.10%,2013,4
000020,2013-09-30,0.74,4.17,5.29,5.72,-35.97%,2013,3
000020,2013-06-30,3.97,10.35,8.72,8.93,-41.57%,2013,2
000020,2013-04-19,,,,15.27,1.63%,2013,2
000020,2013-04-12,,,,15.03,-0.12%,2013,2
000020,2013-04-03,,,,15.05,-0.13%,2013,2
000020,2013-03-29,,,,15.07,-0.24%,2013,1
000020,2013-03-22,,,,15.1,0.06%,2013,1
000020,2013-03-19,,,15.1,,---,2013,1
000021,2026-06-30,0.35,1.35,16.02,75.9,46.78%,2026,2
000021,2026-03-31,0.32,1.08,17.02,51.71,-8.59%,2026,1
000021,2025-12-31,0.28,0.96,17.78,56.57,-5.90%,2025,4
000021,2025-09-30,0.4,1.53,18.46,60.12,27.34%,2025,3
000021,2025-06-30,0.2,0.46,19.59,47.21,-0.04%,2025,2
000021,2025-03-31,0.21,0.47,19.85,47.23,2.28%,2025,1
000021,2024-12-31,0.46,0.68,20.11,46.18,-0.99%,2024,4
000021,2024-09-30,0.23,0.38,20.32,46.64,16.26%,2024,3
000021,2024-06-30,0.21,0.33,20.48,40.12,-4.93%,2024,2
000021,2024-03-31,0.3,0.37,20.61,42.2,-6.31%,2024,1
000021,2023-12-31,0.49,0.65,20.67,45.04,-6.13%,2023,4
000021,2023-09-30,0.25,0.41,20.83,47.98,-9.42%,2023,3
000021,2023-06-30,0.27,0.4,20.99,52.97,-3.83%,2023,2
000021,2023-03-31,0.29,0.38,21.12,55.08,3.22%,2023,1
000021,2022-12-31,0.32,0.31,21.21,53.36,-4.62%,2022,4
000021,2022-09-30,0.33,0.48,21.19,55.95,-12.49%,2022,3
000021,2022-06-30,0.41,0.37,21.34,63.93,7.65%,2022,2
000021,2022-03-31,0.49,0.45,21.3,59.39,-20.43%,2022,1
000021,2021-12-31,0.47,0.76,21.26,74.63,5.02%,2021,4
000021,2021-09-30,0.77,1.37,21.56,71.07,-5.54%,2021,3
000021,2021-06-30,0.51,2.97,22.16,75.23,8.71%,2021,2
000021,2021-03-31,1.18,2.58,24.62,69.21,-14.52%,2021,1
000021,2020-12-31,1.01,2.0,26.02,80.97,20.28%,2020,4
000021,2020-09-30,1.13,3.56,27.01,67.32,-2.37%,2020,3
000021,2020-06-30,0.65,1.87,29.44,68.95,23.83%,2020,2
000021,2020-03-31,3.48,3.74,30.65,55.68,-6.02%,2020,1
000021,2019-12-31,0.63,1.84,30.91,59.25,8.83%,2019,4
000021,2019-09-30,0.59,1.87,32.12,54.44,4.72%,2019,3
000021,2019-06-30,0.69,1.46,33.41,51.99,-7.35%,2019,2
000021,2019-03-31,0.85,1.27,34.17,56.11,24.49%,2019,1
000021,2018-12-31,0.78,0.59,34.6,45.07,-10.20%,2018,4
000021,2018-09-30,0.74,0.69,34.41,50.19,-8.37%,2018,3
000021,2018-06-30,0.71,1.3,34.35,54.78,-9.34%,2018,2
000021,2018-03-31,0.78,2.16,34.94,60.42,-7.15%,2018,1
000021,2017-12-31,0.82,2.21,36.33,65.07,-3.90%,2017,4
000021,2017-09-30,0.79,2.14,37.71,67.71,0.52%,2017,3
000021,2017-06-30,0.8,1.81,39.07,67.36,1.64%,2017,2
000021,2017-03-31,0.87,1.73,40.08,66.28,2.54%,2017,1
000021,2016-12-31,0.84,1.96,40.94,64.63,-5.68%,2016,4
000021,2016-09-30,0.98,1.68,42.06,68.53,-2.34%,2016,3
000021,2016-06-30,1.28,1.36,42.77,70.17,-0.69%,2016,2
000021,2016-03-31,2.11,1.71,42.85,70.66,-16.00%,2016,1
000021,2015-12-31,2.1,2.97,42.45,84.12,23.69%,2015,4
000021,2015-09-30,4.37,8.39,43.33,68.01,-31.89%,2015,3
000021,2015-06-30,5.36,24.42,47.34,99.86,-20.58%,2015,2
000021,2015-03-31,0.94,12.67,66.4,125.74,16.26%,2015,1
000021,2014-12-31,1.12,15.83,78.13,108.15,-6.80%,2014,4
000021,2014-09-30,1.39,10.46,92.85,116.03,-1.90%,2014,3
000021,2014-06-30,1.58,4.54,101.92,118.28,-3.94%,2014,2
000021,2014-03-31,1.69,7.03,104.88,123.13,-10.21%,2014,1
000021,2013-12-31,1.92,6.8,110.23,137.14,-8.76%,2013,4
000021,2013-09-30,2.14,9.11,115.11,150.3,8.20%,2013,3
000021,2013-06-30,2.42,8.62,122.08,138.91,-8.07%,2013,2
000021,2013-03-31,2.86,7.31,128.28,151.11,3.73%,2013,1
000021,2012-12-31,3.56,3.97,132.73,145.68,5.92%,2012,4
000021,2012-09-30,3.98,4.29,133.13,137.53,-7.41%,2012,3
000021,2012-06-30,4.46,5.73,133.44,148.54,0.07%,2012,2
000021,2012-03-31,5.96,4.5,134.71,148.44,2.32%,2012,1
000021,2011-12-31,27.02,2.52,133.24,145.08,-16.57%,2011,4
000021,2011-09-30,5.49,3.65,108.74,173.9,-12.60%,2011,3
000021,2011-06-30,5.36,5.83,106.9,198.98,-5.34%,2011,2
000021,2011-03-31,6.99,6.31,107.38,210.2,-2.67%,2011,1
000021,2010-12-31,32.09,15.34,106.71,215.96,37.48%,2010,4
000021,2010-09-30,24.33,5.75,89.96,157.08,18.63%,2010,3
000021,2010-06-30,4.97,3.35,71.38,132.41,-12.71%,2010,2
000021,2010-03-31,2.31,4.89,69.76,151.7,-8.11%,2010,1
000021,2009-12-31,5.28,8.45,72.34,165.08,11.26%,2009,4
000021,2009-09-30,8.94,13.5,75.5,148.38,-12.43%,2009,3
000021,2009-06-30,6.87,14.47,80.07,169.43,9.36%,2009,2
000021,2009-03-31,13.54,13.16,87.67,154.93,22.19%,2009,1
000021,2008-12-31,2.83,10.82,87.29,126.8,-12.52%,2008,4
000021,2008-09-30,9.04,9.02,95.27,144.95,-16.06%,2008,3
000021,2008-06-30,9.49,15.8,95.25,172.69,-18.83%,2008,2
000021,2008-03-31,13.55,17.4,101.56,212.76,-21.43%,2008,1
000021,2007-12-31,28.58,14.8,105.41,270.79,14.58%,2007,4
000021,2007-09-30,30.39,16.35,91.63,236.33,80.37%,2007,3
000021,2007-06-30,20.67,35.86,77.59,131.03,17.40%,2007,2
000021,2007-03-31,22.89,84.16,92.78,111.61,-35.15%,2007,1
000021,2006-12-31,,,154.07,172.09,22.03%,2006,4
000021,2006-11-24,,,141.02,,---,2006,4
000031,2026-06-30,0.13,0.88,5.71,15.71,-12.97%,2026,2
000031,2026-03-31,0.38,0.61,6.46,18.05,1.75%,2026,1
000031,2025-12-31,0.12,0.44,6.69,17.74,-4.84%,2025,4
000031,2025-09-30,0.2,0.77,7.02,18.64,21.95%,2025,3
000031,2025-06-30,0.1,0.24,7.59,15.29,2.27%,2025,2
000031,2025-03-31,0.13,0.44,7.73,14.95,-1.47%,2025,1
000031,2024-12-31,0.32,0.58,8.04,15.17,-7.86%,2024,4
000031,2024-09-30,0.14,0.25,8.29,16.46,16.73%,2024,3
000031,2024-06-30,0.13,0.22,8.4,14.1,-8.11%,2024,2
000031,2024-03-31,0.2,0.32,8.5,15.35,-18.71%,2024,1
000031,2023-12-31,0.14,0.23,8.61,18.88,-4.12%,2023,4
000031,2023-09-30,0.16,0.26,8.71,19.69,-11.89%,2023,3
000031,2023-06-30,0.23,0.32,8.81,22.35,-8.92%,2023,2
000031,2023-03-31,0.34,0.32,8.9,24.54,-2.31%,2023,1
000031,2022-12-31,0.3,0.35,8.88,25.12,3.58%,2022,4
000031,2022-09-30,0.32,0.45,8.93,24.25,-21.48%,2022,3
000031,2022-06-30,0.51,0.52,9.07,30.88,12.90%,2022,2
000031,2022-03-31,0.73,0.46,9.08,27.35,-21.51%,2022,1
000031,2021-12-31,0.6,0.81,8.81,34.85,7.55%,2021,4
000031,2021-09-30,1.0,2.07,9.01,32.41,-15.00%,2021,3
000031,2021-06-30,0.76,2.64,10.08,38.12,1.19%,2021,2
000031,2021-03-31,1.63,4.02,11.95,37.67,-24.42%,2021,1
000031,2020-12-31,1.97,3.59,14.34,49.85,1.02%,2020,4
000031,2020-09-30,6.4,5.15,15.96,49.34,13.33%,2020,3
000031,2020-06-30,3.44,3.5,14.71,43.54,43.56%,2020,2
000031,2020-03-31,10.0,4.55,14.77,30.33,53.42%,2020,1
000031,2019-12-31,1.59,1.0,9.31,19.77,28.24%,2019,4
000031,2019-09-30,0.66,0.65,8.72,15.41,20.63%,2019,3
000031,2019-06-30,0.27,0.5,8.7,12.78,-11.31%,2019,2
000031,2019-03-31,0.54,0.45,8.93,14.41,31.36%,2019,1
000031,2018-12-31,0.15,0.15,8.83,10.97,-5.50%,2018,4
000031,2018-09-30,0.15,0.17,8.83,11.61,-8.71%,2018,3
000031,2018-06-30,0.15,0.36,8.85,12.71,-16.36%,2018,2
000031,2018-03-31,0.22,0.64,9.06,15.2,-5.88%,2018,1
000031,2017-12-31,0.08,0.86,9.48,16.15,-12.79%,2017,4
