fund_code,fund_code_6,基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,成立日期,fund_type,inception_date,latest_scale,benchmark,management_company,custodian,subscription_status,redemption_status,management_fee,custodian_fee,sales_service_fee,investment_style,investment_target,risk_level,最高申购费率,最高赎回费率,latest_scale_yi,inception_date_fixed,fund_type_fixed
11,11,华夏大盘精选证券投资基金,华夏大盘精选混合A,000011（前端）、000012（后端）基金类型混合型-灵活,混合型-灵活,2004年07月06日,2004年08月11日 / 19.280亿份,49.59亿元（截止至：2026年06月30日）份额规模1.8025亿份（截止至：2026年06月30日）,1.8025亿份（截止至：2026年06月30日）,华夏基金,中国银行,屠环宇,每份累计7.31元（23次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,新华富时中国A200指数*80%+新华富时中国国债指数*20%,该基金无跟踪标的,2004-08-11,混合型-灵活,2004-08-11,,新华富时中国A200指数*80%+新华富时中国国债指数*20%,华夏基金,中国银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,19.28,2004-08-11,混合型-灵活
17,17,财通可持续发展主题混合型证券投资基金,财通可持续混合A,000017（前端）基金类型混合型-偏股,混合型-偏股,2013年02月25日,2013年03月27日 / 3.148亿份,6.75亿元（截止至：2026年06月30日）份额规模1.3869亿份（截止至：2026年06月30日）,1.3869亿份（截止至：2026年06月30日）,财通基金,工商银行,夏钦,每份累计1.82元（11次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的,2013-03-27,混合型-偏股,2013-03-27,,沪深300指数收益率*80%+上证国债指数收益率*20%,财通基金,工商银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,3.148,2013-03-27,混合型-偏股
20,20,景顺长城品质投资混合型证券投资基金,景顺长城品质投资混合A,000020（前端）基金类型混合型-偏股,混合型-偏股,2013年02月25日,2013年03月19日 / 15.096亿份,5.72亿元（截止至：2026年06月30日）份额规模0.9394亿份（截止至：2026年06月30日）,0.9394亿份（截止至：2026年06月30日）,景顺长城基金,农业银行,詹成,每份累计0.17元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*80%+中证全债指数*20%,该基金无跟踪标的,2013-03-19,混合型-偏股,2013-03-19,,沪深300指数*80%+中证全债指数*20%,景顺长城基金,农业银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,15.096,2013-03-19,混合型-偏股
21,21,华夏优势增长混合型证券投资基金,华夏优势增长混合,000021（前端）基金类型混合型-偏股,混合型-偏股,2006年11月20日,2006年11月24日 / 141.020亿份,75.90亿元（截止至：2026年06月30日）份额规模16.0191亿份（截止至：2026年06月30日）,16.0191亿份（截止至：2026年06月30日）,华夏基金,建设银行,郑晓辉,每份累计1.17元（4次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,富时中国A600指数收益率×80%+中债综合指数(财富)收益率×20%,该基金无跟踪标的,2006-11-24,混合型-偏股,2006-11-24,,富时中国A600指数收益率×80%+中债综合指数(财富)收益率×20%,华夏基金,建设银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,141.02,2006-11-24,混合型-偏股
31,31,华夏复兴混合型证券投资基金,华夏复兴混合A,000031（前端）基金类型混合型-偏股,混合型-偏股,2007年09月05日,2007年09月10日 / 49.991亿份,15.71亿元（截止至：2026年06月30日）份额规模5.7058亿份（截止至：2026年06月30日）,5.7058亿份（截止至：2026年06月30日）,华夏基金,农业银行,黄皓,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的,2007-09-10,混合型-偏股,2007-09-10,,沪深300指数收益率*80%+上证国债指数收益率*20%,华夏基金,农业银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,49.991,2007-09-10,混合型-偏股
61,61,华夏盛世精选混合型证券投资基金,华夏盛世混合,000061（前端）基金类型混合型-偏股,混合型-偏股,2009年12月09日,2009年12月11日 / 187.102亿份,13.85亿元（截止至：2026年06月30日）份额规模4.8943亿份（截止至：2026年06月30日）,4.8943亿份（截止至：2026年06月30日）,华夏基金,建设银行,连骁,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,沪深300指数×80%+上证国债指数×20%,该基金无跟踪标的,2009-12-11,混合型-偏股,2009-12-11,,沪深300指数×80%+上证国债指数×20%,华夏基金,建设银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,187.102,2009-12-11,混合型-偏股
73,73,摩根成长动力混合型证券投资基金,摩根成长动力混合A,000073（前端）基金类型混合型-灵活,混合型-灵活,2013年04月15日,2013年05月15日 / 17.721亿份,2.50亿元（截止至：2026年06月30日）份额规模0.7099亿份（截止至：2026年06月30日）,0.7099亿份（截止至：2026年06月30日）,摩根基金(中国),中国银行,叶敏,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+中债总指数收益率*20%,该基金无跟踪标的,2013-05-15,混合型-灵活,2013-05-15,,沪深300指数收益率*80%+中债总指数收益率*20%,摩根基金(中国),中国银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,17.721,2013-05-15,混合型-灵活
263,263,工银瑞信信息产业混合型证券投资基金,工银信息产业混合A,000263（前端）基金类型混合型-偏股,混合型-偏股,2013年10月09日,2013年11月11日 / 2.271亿份,12.99亿元（截止至：2026年06月30日）份额规模1.9294亿份（截止至：2026年06月30日）,1.9294亿份（截止至：2026年06月30日）,工银瑞信基金,农业银行,单文,每份累计0.28元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,80%×中证TMT产业主题指数收益率+20%×上证国债指数收益率,该基金无跟踪标的,2013-11-11,混合型-偏股,2013-11-11,,80%×中证TMT产业主题指数收益率+20%×上证国债指数收益率,工银瑞信基金,农业银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,2.271,2013-11-11,混合型-偏股
308,308,建信创新中国混合型证券投资基金,建信创新中国混合,000308（前端）基金类型混合型-偏股,混合型-偏股,2013年08月26日,2013年09月24日 / 9.385亿份,5.23亿元（截止至：2026年06月30日）份额规模0.4305亿份（截止至：2026年06月30日）,0.4305亿份（截止至：2026年06月30日）,建信基金,中信银行,邵卓,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,75%×沪深300指数收益率+25%中国债券总指数收益率,该基金无跟踪标的,2013-09-24,混合型-偏股,2013-09-24,,75%×沪深300指数收益率+25%中国债券总指数收益率,建信基金,中信银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,9.385,2013-09-24,混合型-偏股
327,327,南方潜力新蓝筹混合型证券投资基金,南方潜力新蓝筹混合A,000327（前端）基金类型混合型-偏股,混合型-偏股,2015年05月14日,2015年05月29日 / 29.829亿份,5.73亿元（截止至：2026年06月30日）份额规模1.3413亿份（截止至：2026年06月30日）,1.3413亿份（截止至：2026年06月30日）,南方基金,建设银行,钟贇,每份累计0.23元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,中证700指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的,2015-05-29,混合型-偏股,2015-05-29,,中证700指数收益率*80%+上证国债指数收益率*20%,南方基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,29.829,2015-05-29,混合型-偏股
