fund_code,report_date,stock_code,stock_name,hold_ratio,hold_shares,hold_value,year,quarter
000011,2018-06-30,000002,万科A,1.15,171.74,4224.88,2018,2
000011,2018-06-30,000069,华侨城A,1.84,930.94,6730.72,2018,2
000011,2018-06-30,000089,深圳机场,3.43,1640.50,12549.83,2018,2
000011,2018-06-30,000333,美的集团,4.51,316.35,16519.78,2018,2
000011,2018-06-30,000338,潍柴动力,1.91,800.00,7000.00,2018,2
000011,2018-06-30,000568,泸州老窖,3.16,189.99,11562.56,2018,2
000011,2018-06-30,000625,长安汽车,0.10,40.00,360.00,2018,2
000011,2018-06-30,000858,五粮液,2.86,137.71,10465.96,2018,2
000011,2018-06-30,002032,苏泊尔,1.13,80.21,4130.56,2018,2
000011,2018-06-30,002271,东方雨虹,1.16,250.00,4252.50,2018,2
000011,2018-06-30,002866,传艺科技,0.00,0.05,1.53,2018,2
000011,2018-06-30,300015,爱尔眼科,0.40,45.00,1453.00,2018,2
000011,2018-06-30,300124,汇川技术,5.20,579.99,19035.33,2018,2
000011,2018-06-30,300514,友讯达,0.00,0.07,1.57,2018,2
000011,2018-06-30,300747,锐科激光,0.00,0.15,12.40,2018,2
000011,2018-06-30,600004,白云机场,0.44,123.60,1617.95,2018,2
000011,2018-06-30,600009,上海机场,6.27,413.96,22966.51,2018,2
000011,2018-06-30,600019,宝钢股份,3.50,1646.00,12822.33,2018,2
000011,2018-06-30,600029,南方航空,1.85,800.00,6760.00,2018,2
000011,2018-06-30,600036,招商银行,4.19,579.99,15334.94,2018,2
000011,2018-06-30,600176,中国巨石,3.33,1193.05,12204.91,2018,2
000011,2018-06-30,600309,万华化学,4.05,326.40,14825.09,2018,2
000011,2018-06-30,600525,长园集团,2.47,856.41,9052.26,2018,2
000011,2018-06-30,600585,海螺水泥,0.91,99.99,3347.68,2018,2
000011,2018-06-30,600600,青岛啤酒,6.62,553.30,24251.24,2018,2
000011,2018-06-30,600690,海尔智家,8.05,1530.00,29467.80,2018,2
000011,2018-06-30,600703,三安光电,1.48,282.76,5434.68,2018,2
000011,2018-06-30,600885,宏发股份,3.45,422.79,12649.80,2018,2
000011,2018-06-30,601088,中国神华,0.61,111.17,2216.73,2018,2
000011,2018-06-30,601098,中南传媒,2.04,589.99,7457.46,2018,2
000011,2018-06-30,601233,桐昆股份,1.38,293.99,5062.44,2018,2
000011,2018-06-30,601318,中国平安,1.68,104.99,6150.54,2018,2
000011,2018-06-30,601668,中国建筑,0.42,280.00,1528.80,2018,2
000011,2018-06-30,601939,建设银行,0.03,18.93,123.99,2018,2
000011,2018-06-30,603105,芯能科技,0.00,0.34,1.65,2018,2
000011,2018-06-30,603650,彤程新材,0.00,0.24,5.10,2018,2
000011,2018-06-30,603693,江苏新能,0.00,0.54,4.85,2018,2
000011,2018-06-30,603787,新日股份,0.00,0.06,0.64,2018,2
000011,2018-06-30,603833,欧派家居,3.77,108.35,13817.85,2018,2
000011,2018-06-30,603899,晨光股份,1.56,180.00,5704.08,2018,2
000011,2018-12-31,000089,深圳机场,4.75,2040.49,15895.42,2018,4
000011,2018-12-31,000333,美的集团,0.62,56.36,2077.35,2018,4
000011,2018-12-31,000528,柳工,0.36,200.00,1214.00,2018,4
000011,2018-12-31,000568,泸州老窖,2.79,229.58,9334.78,2018,4
000011,2018-12-31,000596,古井贡酒,1.73,107.35,5792.61,2018,4
000011,2018-12-31,002032,苏泊尔,2.36,150.20,7885.45,2018,4
000011,2018-12-31,002271,东方雨虹,0.00,0.00,0.00,2018,4
000011,2018-12-31,002419,天虹股份,3.87,1180.00,12944.59,2018,4
000011,2018-12-31,002938,鹏鼎控股,0.01,1.20,20.99,2018,4
000011,2018-12-31,300124,汇川技术,4.51,749.99,15104.83,2018,4
000011,2018-12-31,300747,锐科激光,1.87,45.44,6252.24,2018,4
000011,2018-12-31,600004,白云机场,2.19,730.89,7345.42,2018,4
000011,2018-12-31,600009,上海机场,5.77,380.84,19331.45,2018,4
000011,2018-12-31,600019,宝钢股份,3.52,1814.86,11796.58,2018,4
000011,2018-12-31,600029,南方航空,5.08,2559.99,16998.35,2018,4
000011,2018-12-31,600036,招商银行,3.84,509.99,12851.76,2018,4
000011,2018-12-31,600176,中国巨石,5.96,2063.05,19949.70,2018,4
000011,2018-12-31,600309,万华化学,2.39,286.39,8015.95,2018,4
000011,2018-12-31,600600,青岛啤酒,6.20,595.39,20755.37,2018,4
000011,2018-12-31,600690,海尔智家,8.07,1949.98,27007.25,2018,4
000011,2018-12-31,600885,宏发股份,4.12,610.88,13781.34,2018,4
000011,2018-12-31,601098,中南传媒,3.03,810.15,10126.86,2018,4
000011,2018-12-31,601100,恒立液压,0.36,60.00,1188.60,2018,4
000011,2018-12-31,601233,桐昆股份,0.47,159.99,1561.53,2018,4
000011,2018-12-31,601860,紫金银行,0.00,1.60,5.01,2018,4
000011,2018-12-31,603185,弘元绿能,0.00,0.13,6.60,2018,4
000011,2018-12-31,603833,欧派家居,2.58,108.35,8637.42,2018,4
000011,2018-12-31,603899,晨光股份,2.10,232.67,7038.15,2018,4
000011,2019-06-30,000089,深圳机场,1.13,662.84,5892.64,2019,2
000011,2019-06-30,000338,潍柴动力,1.18,499.99,6144.93,2019,2
000011,2019-06-30,000568,泸州老窖,4.46,286.65,23169.94,2019,2
000011,2019-06-30,000596,古井贡酒,4.74,207.63,24606.39,2019,2
000011,2019-06-30,001979,招商蛇口,0.22,55.02,1149.96,2019,2
000011,2019-06-30,002032,苏泊尔,1.86,127.10,9638.23,2019,2
000011,2019-06-30,002242,九阳股份,1.25,311.79,6488.35,2019,2
000011,2019-06-30,002271,东方雨虹,0.00,0.00,0.00,2019,2
000011,2019-06-30,002419,天虹股份,5.60,2228.03,29098.12,2019,2
000011,2019-06-30,300124,汇川技术,1.84,416.45,9540.79,2019,2
000011,2019-06-30,300594,朗进科技,0.00,0.07,3.18,2019,2
000011,2019-06-30,300782,卓胜微,0.00,0.07,8.09,2019,2
000011,2019-06-30,600004,白云机场,1.03,293.81,5347.35,2019,2
000011,2019-06-30,600009,上海机场,4.92,305.10,25561.55,2019,2
000011,2019-06-30,600019,宝钢股份,1.50,1200.27,7801.74,2019,2
000011,2019-06-30,600029,南方航空,5.51,3709.28,28635.66,2019,2
000011,2019-06-30,600031,三一重工,5.62,2232.69,29203.53,2019,2
000011,2019-06-30,600036,招商银行,4.09,589.99,21227.69,2019,2
000011,2019-06-30,600176,中国巨石,4.98,2713.05,25855.32,2019,2
000011,2019-06-30,600258,首旅酒店,2.15,619.98,11147.19,2019,2
000011,2019-06-30,600309,万华化学,1.04,126.38,5407.76,2019,2
000011,2019-06-30,600600,青岛啤酒,1.14,118.75,5929.41,2019,2
000011,2019-06-30,600690,海尔智家,5.94,1784.27,30850.08,2019,2
000011,2019-06-30,600754,锦江酒店,4.96,1045.44,25759.73,2019,2
000011,2019-06-30,600885,宏发股份,2.65,565.58,13743.62,2019,2
000011,2019-06-30,600968,海油发展,0.01,10.24,36.34,2019,2
000011,2019-06-30,601100,恒立液压,4.02,664.96,20866.30,2019,2
000011,2019-06-30,601111,中国国航,3.34,1810.00,17321.70,2019,2
000011,2019-06-30,601155,新城控股,0.15,20.00,796.21,2019,2
000011,2019-06-30,601236,红塔证券,0.00,0.98,3.39,2019,2
000011,2019-06-30,601318,中国平安,2.90,169.99,15062.91,2019,2
000011,2019-06-30,601336,新华保险,2.26,213.70,11759.98,2019,2
000011,2019-06-30,601668,中国建筑,1.33,1200.00,6900.00,2019,2
000011,2019-06-30,601698,中国卫通,0.00,1.01,3.96,2019,2
000011,2019-06-30,601888,中国中免,1.19,69.99,6204.41,2019,2
000011,2019-06-30,603833,欧派家居,2.47,119.32,12840.93,2019,2
000011,2019-06-30,603863,松炀资源,0.00,0.16,3.72,2019,2
000011,2019-06-30,603867,新化股份,0.00,0.10,2.70,2019,2
000011,2019-06-30,603899,晨光股份,2.82,332.66,14627.02,2019,2
000011,2019-12-31,000089,深圳机场,2.35,1312.83,12826.31,2019,4
000011,2019-12-31,000338,潍柴动力,6.13,2110.79,33519.38,2019,4
000011,2019-12-31,000568,泸州老窖,2.50,157.98,13693.74,2019,4
000011,2019-12-31,000596,古井贡酒,2.66,107.22,14573.18,2019,4
000011,2019-12-31,002311,海大集团,0.20,30.00,1080.00,2019,4
000011,2019-12-31,002419,天虹股份,5.61,2909.47,30694.91,2019,4
000011,2019-12-31,002507,涪陵榨菜,0.24,50.00,1336.50,2019,4
000011,2019-12-31,002972,科安达,0.00,0.11,2.15,2019,4
000011,2019-12-31,002973,侨银股份,0.00,0.11,0.66,2019,4
000011,2019-12-31,300124,汇川技术,1.55,276.45,8470.32,2019,4
000011,2019-12-31,600009,上海机场,1.77,122.62,9656.65,2019,4
000011,2019-12-31,600019,宝钢股份,2.83,2700.27,15499.53,2019,4
000011,2019-12-31,600029,南方航空,5.66,4309.28,30940.64,2019,4
000011,2019-12-31,600031,三一重工,3.31,1061.21,18093.62,2019,4
000011,2019-12-31,600036,招商银行,4.05,589.99,22171.67,2019,4
000011,2019-12-31,600176,中国巨石,6.64,3333.04,36330.15,2019,4
000011,2019-12-31,600258,首旅酒店,2.75,729.98,15044.83,2019,4
000011,2019-12-31,600309,万华化学,4.33,421.88,23696.77,2019,4
000011,2019-12-31,600486,扬农化工,0.25,20.00,1372.60,2019,4
000011,2019-12-31,600690,海尔智家,8.32,2334.26,45518.08,2019,4
000011,2019-12-31,600754,锦江酒店,6.07,1155.44,33172.79,2019,4
000011,2019-12-31,600859,王府井,0.92,359.98,5036.12,2019,4
000011,2019-12-31,600885,宏发股份,1.32,210.24,7242.66,2019,4
000011,2019-12-31,601077,渝农商行,0.02,14.78,92.51,2019,4
000011,2019-12-31,601088,中国神华,1.33,400.00,7300.00,2019,4
000011,2019-12-31,601100,恒立液压,5.32,584.70,29088.70,2019,4
000011,2019-12-31,601111,中国国航,3.84,2170.00,21027.30,2019,4
000011,2019-12-31,601138,工业富联,0.18,53.05,969.22,2019,4
000011,2019-12-31,601668,中国建筑,2.98,2900.00,16297.98,2019,4
000011,2019-12-31,603109,神驰机电,0.00,0.07,1.81,2019,4
000011,2019-12-31,603833,欧派家居,2.55,119.32,13960.12,2019,4
000011,2019-12-31,603899,晨光股份,4.89,548.85,26750.73,2019,4
000011,2019-12-31,688003,天准科技,0.01,2.58,72.97,2019,4
000011,2019-12-31,688007,光峰科技,0.01,2.69,72.27,2019,4
