序号,行业类别,占净值比例,市值,截止时间,fund_code
1,制造业,68.85,231485.436211,2023-12-31,11
2,信息传输、软件和信息技术服务业,7.25,24369.370975,2023-12-31,11
3,建筑业,3.28,11033.06802,2023-12-31,11
4,交通运输、仓储和邮政业,3.25,10938.848641,2023-12-31,11
5,住宿和餐饮业,2.7,9075.99849,2023-12-31,11
6,金融业,0.51,1727.9028,2023-12-31,11
7,批发和零售业,0.4,1344.761945,2023-12-31,11
8,文化、体育和娱乐业,0.2,676.0803,2023-12-31,11
9,水利、环境和公共设施管理业,0.0,1.900211,2023-12-31,11
10,科学研究和技术服务业,0.0,1.812606,2023-12-31,11
11,租赁和商务服务业,0.0,0.3058,2023-12-31,11
12,制造业,74.12,278717.738232,2023-09-30,11
13,建筑业,8.15,30641.000024,2023-09-30,11
14,住宿和餐饮业,4.37,16434.08392,2023-09-30,11
15,交通运输、仓储和邮政业,2.44,9184.578025,2023-09-30,11
16,采矿业,1.94,7277.879913,2023-09-30,11
17,批发和零售业,0.7,2634.830057,2023-09-30,11
18,文化、体育和娱乐业,0.33,1233.23592,2023-09-30,11
19,信息传输、软件和信息技术服务业,0.01,27.066692,2023-09-30,11
20,水利、环境和公共设施管理业,0.0,4.560998,2023-09-30,11
21,电力、热力、燃气及水生产和供应业,0.0,3.356397,2023-09-30,11
22,卫生和社会工作,0.0,2.118546,2023-09-30,11
23,科学研究和技术服务业,0.0,0.710428,2023-09-30,11
24,制造业,75.33,301191.447075,2023-06-30,11
25,建筑业,8.67,34645.782304,2023-06-30,11
26,住宿和餐饮业,4.95,19776.027478,2023-06-30,11
27,交通运输、仓储和邮政业,1.98,7923.819925,2023-06-30,11
28,采矿业,1.71,6821.887437,2023-06-30,11
29,批发和零售业,0.68,2709.543462,2023-06-30,11
30,信息传输、软件和信息技术服务业,0.0,14.777419,2023-06-30,11
31,电力、热力、燃气及水生产和供应业,0.0,3.544747,2023-06-30,11
32,卫生和社会工作,0.0,2.378286,2023-06-30,11
33,水利、环境和公共设施管理业,0.0,2.256657,2023-06-30,11
34,制造业,69.39,286502.901741,2023-03-31,11
35,建筑业,8.37,34557.701712,2023-03-31,11
36,住宿和餐饮业,6.3,25995.462597,2023-03-31,11
37,文化、体育和娱乐业,3.09,12751.373244,2023-03-31,11
38,采矿业,1.8,7433.877339,2023-03-31,11
39,交通运输、仓储和邮政业,1.63,6748.8164,2023-03-31,11
40,金融业,1.58,6510.0,2023-03-31,11
41,批发和零售业,0.7,2907.15443,2023-03-31,11
42,信息传输、软件和信息技术服务业,0.06,251.478224,2023-03-31,11
43,电力、热力、燃气及水生产和供应业,0.01,36.16032,2023-03-31,11
44,水利、环境和公共设施管理业,0.0,10.346959,2023-03-31,11
45,卫生和社会工作,0.0,7.352854,2023-03-31,11
46,科学研究和技术服务业,0.0,3.044985,2023-03-31,11
1,制造业,51.37,4972.201445,2023-12-31,17
2,信息传输、软件和信息技术服务业,16.95,1640.757115,2023-12-31,17
3,科学研究和技术服务业,7.14,691.02847,2023-12-31,17
4,金融业,5.88,568.8544,2023-12-31,17
5,卫生和社会工作,3.56,344.1869,2023-12-31,17
6,批发和零售业,2.0,193.9621,2023-12-31,17
7,电力、热力、燃气及水生产和供应业,0.07,7.1329,2023-12-31,17
8,水利、环境和公共设施管理业,0.01,0.7144,2023-12-31,17
9,金融业,33.05,3116.0972,2023-09-30,17
10,制造业,31.75,2992.905909,2023-09-30,17
11,信息传输、软件和信息技术服务业,16.92,1594.980279,2023-09-30,17
12,卫生和社会工作,4.55,429.2322,2023-09-30,17
13,租赁和商务服务业,3.28,309.2661,2023-09-30,17
14,文化、体育和娱乐业,2.91,274.326,2023-09-30,17
15,批发和零售业,0.16,14.784,2023-09-30,17
16,电力、热力、燃气及水生产和供应业,0.08,7.3001,2023-09-30,17
17,水利、环境和公共设施管理业,0.01,0.8352,2023-09-30,17
18,科学研究和技术服务业,0.0,0.335356,2023-09-30,17
19,建筑业,0.0,0.291919,2023-09-30,17
20,制造业,34.83,3854.706757,2023-06-30,17
21,信息传输、软件和信息技术服务业,24.99,2765.965702,2023-06-30,17
22,电力、热力、燃气及水生产和供应业,10.73,1187.2076,2023-06-30,17
23,建筑业,3.13,346.059807,2023-06-30,17
24,交通运输、仓储和邮政业,2.84,313.9026,2023-06-30,17
25,租赁和商务服务业,2.83,313.3712,2023-06-30,17
26,文化、体育和娱乐业,2.75,304.0982,2023-06-30,17
27,卫生和社会工作,2.51,278.2869,2023-06-30,17
28,批发和零售业,2.09,231.1621,2023-06-30,17
29,金融业,1.93,213.8416,2023-06-30,17
30,科学研究和技术服务业,0.99,109.371563,2023-06-30,17
31,水利、环境和公共设施管理业,0.01,0.9168,2023-06-30,17
32,制造业,45.95,5687.281327,2023-03-31,17
33,电力、热力、燃气及水生产和供应业,17.82,2205.76586,2023-03-31,17
34,信息传输、软件和信息技术服务业,13.77,1704.04152,2023-03-31,17
35,卫生和社会工作,4.58,566.7053,2023-03-31,17
36,交通运输、仓储和邮政业,3.63,449.3625,2023-03-31,17
37,科学研究和技术服务业,3.07,380.01,2023-03-31,17
38,批发和零售业,2.96,366.5494,2023-03-31,17
39,建筑业,1.95,241.576314,2023-03-31,17
40,住宿和餐饮业,0.01,1.44072,2023-03-31,17
41,水利、环境和公共设施管理业,0.01,0.7264,2023-03-31,17
1,制造业,81.11,36001.772347,2023-12-31,20
2,信息传输、软件和信息技术服务业,4.66,2068.964349,2023-12-31,20
3,卫生和社会工作,2.41,1070.2007,2023-12-31,20
