fund_code,year,quarter,industry_hhi,hhi_normalized,ICI,ICI_normalized,industry_count,industry_max_pct,total_weight_pct
11,2018,2,0.034442,0.047727,0.044904,0.062224,20,13.69,84.95
11,2018,4,0.035164,0.056991,0.05365,0.086952,14,17.79,78.55
11,2019,2,0.034784,0.044613,0.052931,0.067887,19,15.93,88.3
11,2019,4,0.04242,0.051679,0.043841,0.05341,20,13.62,90.6
11,2020,1,0.029074,0.112705,0.026586,0.103061,8,9.21,50.79
11,2020,2,0.041335,0.051926,0.049584,0.06229,21,12.83,89.22
11,2020,3,0.029986,0.080087,0.028097,0.07504,11,9.77,61.19
11,2020,4,0.037133,0.048511,0.040242,0.052573,26,14.61,87.49
11,2021,1,0.029732,0.079902,0.024827,0.066721,12,8.29,61.0
11,2021,2,0.041179,0.057143,0.037394,0.051891,24,12.01,84.89
11,2021,3,0.033939,0.08982,0.028456,0.075309,11,8.97,61.47
11,2021,4,0.039842,0.047453,0.057605,0.068609,21,19.39,91.63
11,2022,1,0.036594,0.083375,0.052364,0.119306,10,17.99,66.25
11,2022,2,0.043995,0.052308,0.059032,0.070187,21,18.32,91.71
11,2022,3,0.035429,0.069731,0.061816,0.121665,10,17.83,71.28
11,2022,4,0.038702,0.046603,0.079504,0.095734,22,22.94,91.13
11,2023,1,0.024729,0.083871,0.030081,0.102021,11,14.7,54.3
11,2023,2,0.035682,0.041026,0.057534,0.066151,24,18.53,93.26
11,2023,3,0.024454,0.078427,0.030231,0.096952,12,13.8,55.84
11,2023,4,0.024725,0.033532,0.042263,0.057316,23,12.57,85.87
11,2024,1,0.013664,0.088422,0.01699,0.109946,10,8.79,39.31
11,2024,2,0.016232,0.020515,0.070236,0.08877,18,20.77,88.95
11,2024,3,0.011528,0.091732,0.017832,0.141893,8,9.25,35.45
11,2024,4,0.015002,0.024632,0.03926,0.064463,18,11.58,78.04
11,2025,1,0.010187,0.097286,0.015504,0.148059,8,10.78,32.36
11,2025,2,0.018131,0.022315,0.071059,0.087455,19,23.21,90.14
11,2025,3,0.012794,0.108495,0.020555,0.174311,8,11.71,34.34
11,2025,4,0.018979,0.025738,0.106163,0.143976,18,30.05,85.87
11,2026,1,0.013831,0.124504,0.022503,0.202568,6,10.82,33.33
11,2026,2,0.017184,0.102677,0.060985,0.364387,4,23.13,40.91
17,2018,2,0.025785,0.035925,0.064639,0.090059,16,18.38,84.72
17,2018,4,0.023297,0.042879,0.060891,0.112073,14,19.2,73.71
17,2019,2,0.030749,0.040134,0.072821,0.095048,18,22.48,87.53
17,2019,4,0.027318,0.036646,0.079166,0.106198,18,20.1,86.34
17,2020,1,0.025618,0.103796,0.080209,0.324981,4,21.17,49.68
17,2020,2,0.033453,0.039387,0.145064,0.170795,17,31.85,92.16
17,2020,3,0.02131,0.102755,0.049316,0.237795,5,18.91,45.54
17,2020,4,0.034249,0.040818,0.103083,0.122856,23,27.02,91.6
17,2021,1,0.029919,0.10859,0.10026,0.363894,4,29.76,52.49
17,2021,2,0.039869,0.047381,0.135943,0.16156,25,34.76,91.73
17,2021,3,0.029555,0.111216,0.076958,0.289598,6,26.67,51.55
17,2021,4,0.031227,0.037751,0.129509,0.156565,21,25.42,90.95
17,2022,1,0.023635,0.120542,0.047548,0.242505,6,18.25,44.28
17,2022,2,0.030266,0.035167,0.138951,0.161453,23,31.62,92.77
17,2022,3,0.020714,0.111563,0.033611,0.181018,6,12.56,43.09
17,2022,4,0.036503,0.042903,0.134885,0.158536,20,24.64,92.24
17,2023,1,0.023991,0.107871,0.04219,0.1897,6,14.86,47.16
17,2023,2,0.029624,0.039365,0.063808,0.084788,18,18.09,86.75
