date,nav,daily_return,fund_code
2020-01-02,1.184,2.7154,005844
2020-01-03,1.1948,0.9122,005844
2020-01-06,1.2035,0.7282,005844
2020-01-07,1.2001,-0.2825,005844
2020-01-08,1.1842,-1.3249,005844
2020-01-09,1.2069,1.9169,005844
2020-01-10,1.2036,-0.2734,005844
2020-01-13,1.2272,1.9608,005844
2020-01-14,1.221,-0.5052,005844
2020-01-15,1.2265,0.4505,005844
2020-01-16,1.2235,-0.2446,005844
2020-01-17,1.2218,-0.1389,005844
2020-01-20,1.2414,1.6042,005844
2020-01-21,1.2339,-0.6042,005844
2020-01-22,1.2581,1.9613,005844
2020-01-23,1.2207,-2.9727,005844
2020-02-03,1.1481,-5.9474,005844
2020-02-04,1.18,2.7785,005844
2020-02-05,1.1876,0.6441,005844
2020-02-06,1.2072,1.6504,005844
2020-02-07,1.2132,0.497,005844
2020-02-10,1.2118,-0.1154,005844
2020-02-11,1.2223,0.8665,005844
2020-02-12,1.2355,1.0799,005844
2020-02-13,1.2298,-0.4614,005844
2020-02-14,1.2281,-0.1382,005844
2020-02-17,1.2718,3.5583,005844
2020-02-18,1.2755,0.2909,005844
2020-02-19,1.2719,-0.2822,005844
2020-02-20,1.289,1.3444,005844
2020-02-21,1.3098,1.6137,005844
2020-02-24,1.3428,2.5195,005844
2020-02-25,1.3611,1.3628,005844
2020-02-26,1.3283,-2.4098,005844
2020-02-27,1.3157,-0.9486,005844
2020-02-28,1.2726,-3.2758,005844
2020-03-02,1.317,3.4889,005844
2020-03-03,1.3206,0.2733,005844
2020-03-04,1.2958,-1.8779,005844
2020-03-05,1.3068,0.8489,005844
2020-03-06,1.2964,-0.7958,005844
2020-03-09,1.25,-3.5791,005844
2020-03-10,1.2974,3.792,005844
2020-03-11,1.2763,-1.6263,005844
2020-03-12,1.2537,-1.7707,005844
2020-03-13,1.2315,-1.7708,005844
2020-03-16,1.1605,-5.7653,005844
2020-03-17,1.1422,-1.5769,005844
2020-03-18,1.1218,-1.786,005844
2020-03-19,1.1505,2.5584,005844
2020-03-20,1.1564,0.5128,005844
2020-03-23,1.0948,-5.3269,005844
2020-03-24,1.116,1.9364,005844
2020-03-25,1.1583,3.7903,005844
2020-03-26,1.1424,-1.3727,005844
2020-03-27,1.1368,-0.4902,005844
2020-03-30,1.0998,-3.2548,005844
2020-03-31,1.1016,0.1637,005844
2020-04-01,1.1055,0.354,005844
2020-04-02,1.1492,3.953,005844
2020-04-03,1.1358,-1.166,005844
2020-04-07,1.1648,2.5533,005844
2020-04-08,1.172,0.6181,005844
2020-04-09,1.164,-0.6826,005844
2020-04-10,1.1242,-3.4192,005844
2020-04-13,1.1004,-2.1171,005844
2020-04-14,1.1409,3.6805,005844
2020-04-15,1.1432,0.2016,005844
2020-04-16,1.1476,0.3849,005844
2020-04-17,1.1575,0.8627,005844
2020-04-20,1.1667,0.7948,005844
2020-04-21,1.1546,-1.0371,005844
2020-04-22,1.1584,0.3291,005844
2020-04-23,1.1415,-1.4589,005844
2020-04-24,1.1179,-2.0675,005844
2020-04-27,1.1283,0.9303,005844
2020-04-28,1.1454,1.5156,005844
2020-04-29,1.1451,-0.0262,005844
2020-04-30,1.198,4.6197,005844
2020-05-06,1.2249,2.2454,005844
2020-05-07,1.2215,-0.2776,005844
2020-05-08,1.2345,1.0643,005844
2020-05-11,1.2289,-0.4536,005844
2020-05-12,1.2367,0.6347,005844
2020-05-13,1.2424,0.4609,005844
2020-05-14,1.2328,-0.7727,005844
2020-05-15,1.2481,1.2411,005844
2020-05-18,1.2058,-3.3892,005844
2020-05-19,1.2212,1.2772,005844
2020-05-20,1.2022,-1.5558,005844
2020-05-21,1.1851,-1.4224,005844
2020-05-22,1.1653,-1.6707,005844
2020-05-25,1.1458,-1.6734,005844
2020-05-26,1.1754,2.5833,005844
2020-05-27,1.1414,-2.8926,005844
2020-05-28,1.1395,-0.1665,005844
2020-05-29,1.1397,0.0176,005844
2020-06-01,1.1954,4.8873,005844
2020-06-02,1.1923,-0.2593,005844
2020-06-03,1.1861,-0.52,005844
2020-06-04,1.1768,-0.7841,005844
2020-06-05,1.1937,1.4361,005844
2020-06-08,1.1949,0.1005,005844
2020-06-09,1.2188,2.0002,005844
2020-06-10,1.2299,0.9107,005844
2020-06-11,1.2304,0.0407,005844
2020-06-12,1.2448,1.1704,005844
2020-06-15,1.2293,-1.2452,005844
2020-06-16,1.2509,1.7571,005844
2020-06-17,1.2504,-0.04,005844
2020-06-18,1.2798,2.3512,005844
2020-06-19,1.289,0.7189,005844
2020-06-22,1.3061,1.3266,005844
2020-06-23,1.3201,1.0719,005844
2020-06-24,1.3425,1.6968,005844
2020-06-29,1.3343,-0.6108,005844
2020-06-30,1.363,2.1509,005844
