date,open,high,low,close,volume,index_code,index_name
1990-12-19,96.05,99.98,95.79,99.98,126000,sh000001,上证指数
1990-12-20,104.3,104.39,99.98,104.39,19700,sh000001,上证指数
1990-12-21,109.07,109.13,103.73,109.13,2800,sh000001,上证指数
1990-12-24,113.57,114.55,109.13,114.55,3200,sh000001,上证指数
1990-12-25,120.09,120.25,114.55,120.25,1500,sh000001,上证指数
1990-12-26,125.27,125.27,120.25,125.27,10000,sh000001,上证指数
1990-12-27,125.27,125.28,125.27,125.28,6600,sh000001,上证指数
1990-12-28,126.39,126.45,125.28,126.45,10800,sh000001,上证指数
1990-12-31,126.56,127.61,126.48,127.61,7800,sh000001,上证指数
1991-01-02,127.61,128.84,127.61,128.84,9100,sh000001,上证指数
1991-01-03,128.84,130.14,128.84,130.14,14100,sh000001,上证指数
1991-01-04,131.27,131.44,130.14,131.44,42000,sh000001,上证指数
1991-01-07,131.99,132.06,131.45,132.06,21700,sh000001,上证指数
1991-01-08,132.62,132.68,132.06,132.68,292600,sh000001,上证指数
1991-01-09,133.3,133.34,132.68,133.34,560300,sh000001,上证指数
1991-01-10,133.93,133.97,133.34,133.97,999000,sh000001,上证指数
1991-01-11,134.61,134.61,134.51,134.6,1332700,sh000001,上证指数
1991-01-14,134.11,135.19,134.11,134.67,1253000,sh000001,上证指数
1991-01-15,134.21,134.74,134.19,134.74,144600,sh000001,上证指数
1991-01-16,134.19,134.74,134.14,134.24,50900,sh000001,上证指数
1991-01-17,133.67,134.25,133.65,134.25,65800,sh000001,上证指数
1991-01-18,133.7,134.25,133.67,134.24,300400,sh000001,上证指数
1991-01-21,133.7,134.24,133.66,134.24,205100,sh000001,上证指数
1991-01-22,133.72,134.24,133.66,133.72,35400,sh000001,上证指数
1991-01-23,133.17,133.72,133.14,133.17,109500,sh000001,上证指数
1991-01-24,132.61,133.17,132.57,132.61,185700,sh000001,上证指数
1991-01-25,132.05,132.07,132.03,132.05,344700,sh000001,上证指数
1991-01-28,131.46,131.55,131.46,131.46,510700,sh000001,上证指数
1991-01-29,130.95,130.97,130.95,130.95,138700,sh000001,上证指数
1991-01-30,130.44,130.95,130.41,130.44,52700,sh000001,上证指数
1991-01-31,129.93,130.46,129.93,129.97,51000,sh000001,上证指数
1991-02-01,129.5,129.97,129.45,129.51,34500,sh000001,上证指数
1991-02-04,129.05,129.58,129.05,129.05,55300,sh000001,上证指数
1991-02-05,128.56,128.58,128.53,128.58,856200,sh000001,上证指数
1991-02-06,129.13,129.15,128.06,129.14,664100,sh000001,上证指数
1991-02-07,129.74,129.79,129.14,129.79,213300,sh000001,上证指数
1991-02-08,130.36,130.39,129.79,130.38,123400,sh000001,上证指数
1991-02-11,130.92,130.97,130.39,130.97,931700,sh000001,上证指数
1991-02-12,131.54,131.56,130.97,131.35,377400,sh000001,上证指数
1991-02-13,131.93,131.93,131.35,131.92,115200,sh000001,上证指数
1991-02-14,132.53,132.53,132.3,132.53,362400,sh000001,上证指数
1991-02-19,133.12,133.14,133.08,133.13,174800,sh000001,上证指数
1991-02-20,133.63,133.67,133.13,133.67,87600,sh000001,上证指数
1991-02-21,134.24,134.28,133.67,134.28,322000,sh000001,上证指数
1991-02-22,134.85,134.87,134.28,134.87,342700,sh000001,上证指数
1991-02-25,134.37,134.87,134.33,134.4,81000,sh000001,上证指数
1991-02-26,133.9,134.44,133.9,133.93,109400,sh000001,上证指数
1991-02-27,133.44,133.98,133.44,133.47,21400,sh000001,上证指数
1991-02-28,132.99,133.52,132.98,133.01,225800,sh000001,上证指数
1991-03-01,132.53,132.53,132.47,132.53,712400,sh000001,上证指数
1991-03-04,132.09,132.09,131.98,131.99,251800,sh000001,上证指数
1991-03-05,131.42,131.99,131.41,131.46,98200,sh000001,上证指数
1991-03-06,130.89,130.95,130.89,130.94,71900,sh000001,上证指数
1991-03-07,130.41,130.94,130.41,130.41,56800,sh000001,上证指数
1991-03-08,129.84,130.41,129.84,129.89,93300,sh000001,上证指数
1991-03-11,129.3,129.89,129.3,129.31,51400,sh000001,上证指数
1991-03-12,128.73,129.31,128.73,128.77,95700,sh000001,上证指数
1991-03-13,126.13,128.77,126.13,126.15,49800,sh000001,上证指数
1991-03-14,125.61,126.15,125.61,125.63,32600,sh000001,上证指数
1991-03-15,125.08,125.62,125.08,125.17,79000,sh000001,上证指数
1991-03-18,124.7,125.17,124.69,124.71,125000,sh000001,上证指数
1991-03-19,124.23,124.71,124.22,124.22,89200,sh000001,上证指数
1991-03-20,123.66,124.21,123.63,123.66,67800,sh000001,上证指数
1991-03-21,123.14,123.66,123.12,123.12,15100,sh000001,上证指数
1991-03-22,122.62,123.12,122.62,122.62,20700,sh000001,上证指数
1991-03-25,122.12,122.62,122.1,122.12,44300,sh000001,上证指数
1991-03-26,121.62,122.14,121.62,121.62,116400,sh000001,上证指数
1991-03-27,121.12,121.64,121.12,121.12,66800,sh000001,上证指数
1991-03-28,120.65,121.15,120.61,120.61,96100,sh000001,上证指数
1991-03-29,120.16,120.61,120.11,120.19,218500,sh000001,上证指数
1991-04-01,120.69,120.73,119.68,120.73,1199900,sh000001,上证指数
1991-04-02,121.21,121.29,120.73,121.21,81600,sh000001,上证指数
1991-04-03,121.71,121.71,121.21,121.71,206300,sh000001,上证指数
1991-04-04,122.2,122.2,121.24,121.72,1051700,sh000001,上证指数
1991-04-05,121.07,121.73,121.03,121.54,1158900,sh000001,上证指数
1991-04-08,121.11,121.11,121.05,121.09,186200,sh000001,上证指数
1991-04-09,120.6,121.1,120.6,120.62,32000,sh000001,上证指数
1991-04-10,120.15,120.62,120.09,120.16,46600,sh000001,上证指数
1991-04-11,119.64,120.16,119.62,119.64,23900,sh000001,上证指数
1991-04-12,119.2,119.65,119.15,119.21,39900,sh000001,上证指数
1991-04-15,118.73,119.22,118.72,118.77,30100,sh000001,上证指数
1991-04-16,118.36,118.77,118.34,118.34,10500,sh000001,上证指数
1991-04-17,117.92,118.34,117.89,117.9,20100,sh000001,上证指数
1991-04-18,117.45,117.93,117.45,117.45,17800,sh000001,上证指数
1991-04-19,117.08,117.5,117.05,117.08,64600,sh000001,上证指数
1991-04-22,116.63,117.08,116.58,116.63,43000,sh000001,上证指数
1991-04-23,116.21,116.63,116.15,116.19,28200,sh000001,上证指数
1991-04-24,115.7,116.19,115.7,115.79,14800,sh000001,上证指数
1991-04-25,115.38,115.79,115.33,115.36,149500,sh000001,上证指数
1991-04-26,116.31,116.31,114.52,115.56,1335400,sh000001,上证指数
1991-04-29,114.86,116.29,114.75,114.75,841100,sh000001,上证指数
1991-04-30,113.89,114.87,113.89,113.94,485000,sh000001,上证指数
1991-05-02,113.04,113.2,113.03,113.16,146500,sh000001,上证指数
1991-05-03,112.46,113.17,112.3,112.41,423000,sh000001,上证指数
1991-05-06,111.65,112.41,111.57,111.61,276400,sh000001,上证指数
1991-05-07,110.8,110.9,110.8,110.82,187500,sh000001,上证指数
1991-05-08,110.16,110.82,110.0,110.03,42300,sh000001,上证指数
1991-05-09,109.36,110.12,109.29,109.29,226600,sh000001,上证指数
1991-05-10,108.61,109.4,108.53,108.53,24900,sh000001,上证指数
1991-05-13,107.88,107.88,107.74,107.84,23500,sh000001,上证指数
1991-05-14,107.21,107.84,107.06,107.19,26700,sh000001,上证指数
1991-05-15,106.56,106.6,106.42,106.57,39000,sh000001,上证指数
1991-05-16,105.83,105.86,105.69,105.77,310800,sh000001,上证指数
1991-05-17,105.12,106.75,104.96,106.75,2019200,sh000001,上证指数
1991-05-20,107.76,107.82,106.71,107.82,86300,sh000001,上证指数
1991-05-21,108.89,108.89,108.62,108.81,77100,sh000001,上证指数
1991-05-22,109.71,109.82,108.11,108.25,1867700,sh000001,上证指数
1991-05-23,107.52,109.16,107.35,109.08,560900,sh000001,上证指数
1991-05-24,110.07,110.08,109.82,110.08,102400,sh000001,上证指数
1991-05-27,111.05,111.07,109.47,110.66,861900,sh000001,上证指数
1991-05-28,111.61,111.68,111.36,111.68,163000,sh000001,上证指数
1991-05-29,112.75,112.75,111.67,112.75,53000,sh000001,上证指数
1991-05-30,113.74,113.82,112.77,113.82,38800,sh000001,上证指数
1991-05-31,114.83,114.83,113.84,114.83,121100,sh000001,上证指数
1991-06-03,115.9,115.97,114.89,115.97,95400,sh000001,上证指数
1991-06-04,117.12,117.12,116.83,117.12,360300,sh000001,上证指数
1991-06-05,118.17,118.17,117.14,118.17,30800,sh000001,上证指数
1991-06-06,118.17,118.17,117.14,118.17,26600,sh000001,上证指数
1991-06-07,120.46,120.47,119.35,120.47,10000,sh000001,上证指数
1991-06-10,121.65,121.67,120.47,121.67,40000,sh000001,上证指数
1991-06-11,122.89,122.89,121.67,122.89,54300,sh000001,上证指数
1991-06-12,123.9,124.11,122.89,124.11,137200,sh000001,上证指数
1991-06-13,125.33,125.34,123.65,125.34,2086800,sh000001,上证指数
1991-06-14,124.47,126.34,124.47,124.53,663300,sh000001,上证指数
1991-06-17,125.63,125.77,123.54,125.77,693300,sh000001,上证指数
1991-06-18,127.03,127.03,126.67,127.03,203000,sh000001,上证指数
1991-06-19,128.12,128.29,127.03,128.29,148100,sh000001,上证指数
1991-06-20,129.55,129.57,129.21,129.57,229900,sh000001,上证指数
1991-06-21,130.72,130.86,128.81,130.86,1361300,sh000001,上证指数
1991-06-24,132.1,132.17,131.8,132.17,196000,sh000001,上证指数
1991-06-25,133.48,133.49,132.17,133.49,162400,sh000001,上证指数
1991-06-26,134.83,134.83,133.49,134.83,340900,sh000001,上证指数
1991-06-27,136.04,136.19,134.83,136.19,449700,sh000001,上证指数
1991-06-28,137.41,137.56,136.19,137.56,493500,sh000001,上证指数
